Rank,Title,Issn,SJR
60,Joule,2542-4351,11.724
61,Nature Electronics,2520-1131,11.667
62,Nature Reviews Chemistry,2397-3358,11.603
63,Cell Metabolism,1550-4131,11.406
63,Cell Metabolism,1932-7420,11.406
64,Nature Immunology,1529-2908,11.274
64,Nature Immunology,1529-2916,11.274
65,Nature Photonics,1749-4885,11.249
66,Journal of Economic Literature,0022-0515,11.092
67,Energy and Environmental Science,1754-5692,10.935
67,Energy and Environmental Science,1754-5706,10.935
68,Physiological Reviews,1522-1210,10.821
68,Physiological Reviews,0031-9333,10.821
69,Journal of Clinical Oncology,1527-7755,10.639
69,Journal of Clinical Oncology,0732-183X,10.639
70,Academy of Management Review,0363-7425,10.486
71,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,1063-6919,10.331
72,MMWR Surveillance Summaries,1545-8636,10.275
72,MMWR Surveillance Summaries,1546-0738,10.275
73,Cell Stem Cell,1934-5909,10.253
73,Cell Stem Cell,1875-9777,10.253
74,"Lancet Diabetes and Endocrinology,The",2213-8595,10.247
74,"Lancet Diabetes and Endocrinology,The",2213-8587,10.247
75,Nature Reviews Disease Primers,2056-676X,10.215
76,Living Reviews in Relativity,1433-8351,10.188
76,Living Reviews in Relativity,2367-3613,10.188
77,Psychological Science in the Public Interest,2160-0031,9.887
77,Psychological Science in the Public Interest,1529-1006,9.887
78,Journal of Hepatology,1600-0641,9.857
78,Journal of Hepatology,0168-8278,9.857
79,Annual Review of Condensed Matter Physics,1947-5454,9.821
79,Annual Review of Condensed Matter Physics,1947-5462,9.821
80,Annual Review of Biochemistry,1545-4509,9.745
80,Annual Review of Biochemistry,0066-4154,9.745
81,Nature Reviews Gastroenterology and Hepatology,1759-5045,9.741
81,Nature Reviews Gastroenterology and Hepatology,1759-5053,9.741
82,Astronomy and Astrophysics Review,0935-4956,9.664
82,Astronomy and Astrophysics Review,1432-0754,9.664
83,Nature Reviews Microbiology,1740-1534,9.639
83,Nature Reviews Microbiology,1740-1526,9.639
84,Nature Reviews Earth and Environment,2662-138X,9.521
85,Cell Research,1748-7838,9.506
85,Cell Research,1001-0602,9.506
86,Annual Review of Psychology,0066-4308,9.438
86,Annual Review of Psychology,1545-2085,9.438
87,"Lancet Public Health, The",2468-2667,9.434
88,Molecular Cell,1097-4164,9.332
88,Molecular Cell,1097-2765,9.332
89,Advanced Materials,0935-9648,9.191
89,Advanced Materials,1521-4095,9.191
90,Journal of Econometrics,0304-4076,9.161
90,Journal of Econometrics,1872-6895,9.161
91,Synthesis Lectures on Artificial Intelligence and Machine Learning,1939-4616,9.129
91,Synthesis Lectures on Artificial Intelligence and Machine Learning,1939-4608,9.129
92,"Lancet Gastroenterology and Hepatology, The",2468-1253,8.957
93,American Economic Journal: Applied Economics,1945-7790,8.933
93,American Economic Journal: Applied Economics,1945-7782,8.933
94,Annual Review of Economics,1941-1383,8.925
94,Annual Review of Economics,1941-1391,8.925
95,Acta Numerica,1474-0508,8.913
95,Acta Numerica,0962-4929,8.913
96,Nature Cell Biology,1476-4679,8.913
96,Nature Cell Biology,1465-7392,8.913
97,Reviews of Geophysics,1944-9208,8.853
97,Reviews of Geophysics,8755-1209,8.853
98,Cell Genomics,2666-979X,8.807
99,Journal of the American College of Cardiology,1558-3597,8.762
99,Journal of the American College of Cardiology,0735-1097,8.762
100,Science immunology,2470-9468,8.761
101,Annual Review of Fluid Mechanics,1545-4479,8.751
101,Annual Review of Fluid Mechanics,0066-4189,8.751
102,Advanced Energy Materials,1614-6832,8.748
102,Advanced Energy Materials,1614-6840,8.748
103,Signal Transduction and Targeted Therapy,2059-3635,8.737
103,Signal Transduction and Targeted Therapy,2095-9907,8.737
104,Advances in Optics and Photonics,1943-8206,8.735
105,IEEE Journal on Selected Areas in Communications,0733-8716,8.707
106,Annual Review of Neuroscience,0147-006X,8.658
106,Annual Review of Neuroscience,1545-4126,8.658
107,eLight,2662-8643,8.65
107,eLight,2097-1710,8.65
108,"Lancet Neurology, The",1474-4465,8.589
108,"Lancet Neurology, The",1474-4422,8.589
109,Circulation,0009-7322,8.415
109,Circulation,1524-4539,8.415
110,Psychological Bulletin,0033-2909,8.412
110,Psychological Bulletin,1939-1455,8.412
111,Nature Reviews Cardiology,1759-5010,8.408
111,Nature Reviews Cardiology,1759-5002,8.408
112,Journal of Accounting and Economics,0165-4101,8.337
113,Academy of Management Journal,0001-4273,8.271
114,Nature Physics,1745-2473,8.228
115,Molecular Cancer,1476-4598,8.222
116,AI Open,2666-6510,8.119
117,Gut,1468-3288,8.052
117,Gut,0017-5749,8.052
118,Foundations and Trends in Finance,1567-2409,8.051
118,Foundations and Trends in Finance,1567-2395,8.051
119,Synthesis Lectures on Communication Networks,1935-4185,7.993
120,Nature Microbiology,2058-5276,7.982
121,"Lancet Respiratory Medicine,The",2213-2619,7.965
121,"Lancet Respiratory Medicine,The",2213-2600,7.965
122,Nature Biomedical Engineering,2157-846X,7.951
123,Endocrine Reviews,1945-7189,7.922
123,Endocrine Reviews,0163-769X,7.922
124,Journal of Thoracic Oncology,1556-1380,7.879
124,Journal of Thoracic Oncology,1556-0864,7.879
125,Nature Reviews Neuroscience,1471-0048,7.86
125,Nature Reviews Neuroscience,1471-003X,7.86
126,JAMA Oncology,2374-2445,7.843
126,JAMA Oncology,2374-2437,7.843
127,Nature Reviews Physics,2522-5820,7.833
128,"Lancet Psychiatry,The",2215-0374,7.827
128,"Lancet Psychiatry,The",2215-0366,7.827
129,Strategic Management Journal,1097-0266,7.82
129,Strategic Management Journal,0143-2095,7.82
130,Progress in Materials Science,1873-2208,7.796
130,Progress in Materials Science,0079-6425,7.796
131,Review of Finance,1573-692X,7.769
131,Review of Finance,1572-3097,7.769
132,ACM Transactions on Graphics,1557-7368,7.766
132,ACM Transactions on Graphics,0730-0301,7.766
133,Cell Host and Microbe,1934-6069,7.76
133,Cell Host and Microbe,1931-3128,7.76
134,Neuron,1097-4199,7.728
134,Neuron,0896-6273,7.728
135,Nature Climate Change,1758-6798,7.724
135,Nature Climate Change,1758-678X,7.724
136,Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,7.706
137,Annual Review of Plant Biology,1545-2123,7.555
137,Annual Review of Plant Biology,1543-5008,7.555
138,Review of Economics and Statistics,0034-6535,7.553
138,Review of Economics and Statistics,1530-9142,7.553
139,Journal of Management,0149-2063,7.539
139,Journal of Management,1557-1211,7.539
140,Cancer Discovery,2159-8274,7.533
140,Cancer Discovery,2159-8290,7.533
141,Journal of Hematology and Oncology,1756-8722,7.522
142,Journal of Economic Perspectives,0895-3309,7.496
143,Living Reviews in Solar Physics,1614-4961,7.472
143,Living Reviews in Solar Physics,2367-3648,7.472
144,Nature Protocols,1754-2189,7.419
145,Annual Review of Genetics,1545-2948,7.366
145,Annual Review of Genetics,0066-4197,7.366
146,Nature Sustainability,2398-9629,7.366
147,Gastroenterology,1528-0012,7.362
147,Gastroenterology,0016-5085,7.362
148,Annual Review of Clinical Psychology,1548-5951,7.348
148,Annual Review of Clinical Psychology,1548-5943,7.348
149,"Lancet Digital Health, The",2589-7500,7.277
150,Nature Reviews Endocrinology,1759-5037,7.274
150,Nature Reviews Endocrinology,1759-5029,7.274
151,The Innovation,2666-6758,7.268
152,ACS Energy Letters,2380-8195,7.202
153,Genome Biology,1474-7596,7.197
154,Journal of the Academy of Marketing Science,0092-0703,7.194
154,Journal of the Academy of Marketing Science,1552-7824,7.194
155,Nature Metabolism,2522-5812,7.192
156,Annals of Mathematics,0003-486X,7.154
157,Nature Structural and Molecular Biology,1545-9993,7.151
157,Nature Structural and Molecular Biology,1545-9985,7.151
158,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,1618-1913,7.086
158,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,0073-8301,7.086
159,Nucleic Acids Research,0305-1048,7.048
159,Nucleic Acids Research,1362-4962,7.048
160,Nature Chemistry,1755-4330,6.94
160,Nature Chemistry,1755-4349,6.94
161,European Urology,1873-7560,6.928
161,European Urology,0302-2838,6.928
162,Annual Review of Physiology,0066-4278,6.87
162,Annual Review of Physiology,1545-1585,6.87
163,Journal of Experimental Medicine,0022-1007,6.838
163,Journal of Experimental Medicine,1540-9538,6.838
164,Materials Science and Engineering: R: Reports,0927-796X,6.822
165,Electrochemical Energy Reviews,2520-8136,6.791
165,Electrochemical Energy Reviews,2520-8489,6.791
166,Fungal Diversity,1560-2745,6.787
166,Fungal Diversity,1878-9129,6.787
167,Clinical Microbiology Reviews,0893-8512,6.762
167,Clinical Microbiology Reviews,1098-6618,6.762
168,Organizational Research Methods,1552-7425,6.712
168,Organizational Research Methods,1094-4281,6.712
169,International Journal of Computer Vision,0920-5691,6.668
169,International Journal of Computer Vision,1573-1405,6.668
170,Journal of the European Economic Association,1542-4774,6.658
170,Journal of the European Economic Association,1542-4766,6.658
171,Journal of Accounting Research,1475-679X,6.625
171,Journal of Accounting Research,0021-8456,6.625
172,Science Robotics,2470-9476,6.601
173,Journal of Monetary Economics,0304-3932,6.564
174,Chem,2451-9308,6.556
174,Chem,2451-9294,6.556
175,American Economic Journal: Economic Policy,1945-7731,6.519
175,American Economic Journal: Economic Policy,1945-774X,6.519
176,Science Translational Medicine,1946-6234,6.51
176,Science Translational Medicine,1946-6242,6.51
177,Nano-Micro Letters,2311-6706,6.484
177,Nano-Micro Letters,2150-5551,6.484
178,Annual Review of Cell and Developmental Biology,1530-8995,6.456
178,Annual Review of Cell and Developmental Biology,1081-0706,6.456
179,Journal of Applied Psychology,1939-1854,6.453
179,Journal of Applied Psychology,0021-9010,6.453
180,Physics Reports,0370-1573,6.435
181,Journal of the American Mathematical Society,1088-6834,6.428
181,Journal of the American Mathematical Society,0894-0347,6.428
182,Neuro-Oncology,1522-8517,6.348
182,Neuro-Oncology,1523-5866,6.348
183,"Lancet Infectious Diseases, The",1474-4457,6.329
183,"Lancet Infectious Diseases, The",1473-3099,6.329
184,Review of Asset Pricing Studies,2045-9920,6.315
184,Review of Asset Pricing Studies,2045-9939,6.315
185,ACM Computing Surveys,0360-0300,6.28
185,ACM Computing Surveys,1557-7341,6.28
186,Advances in Methods and Practices in Psychological Science,2515-2459,6.269
186,Advances in Methods and Practices in Psychological Science,2515-2467,6.269
187,JAMA Psychiatry,2168-6238,6.241
187,JAMA Psychiatry,2168-622X,6.241
188,Nature Reviews Neurology,1759-4766,6.237
188,Nature Reviews Neurology,1759-4758,6.237
189,Intensive Care Medicine,1432-1238,6.232
189,Intensive Care Medicine,0342-4642,6.232
190,JAMA Cardiology,2380-6583,6.231
190,JAMA Cardiology,2380-6591,6.231
191,"Lancet Global Health,The",2214-109X,6.221
192,Progress in Polymer Science,0079-6700,6.211
193,Advanced Powder Materials,2772-834X,6.197
194,JAMA Neurology,2168-6157,6.194
194,JAMA Neurology,2168-6149,6.194
195,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,6.158
196,"Philosophical Review, The",0031-8108,6.146
197,Annals of the Rheumatic Diseases,0003-4967,6.138
197,Annals of the Rheumatic Diseases,1468-2060,6.138
198,Progress in Energy and Combustion Science,0360-1285,6.114
199,Nature Human Behaviour,2397-3374,6.097
200,Proceedings of the IEEE,1558-2256,6.085
200,Proceedings of the IEEE,0018-9219,6.085
201,Journal of Labor Economics,0734-306X,6.084
201,Journal of Labor Economics,1537-5307,6.084
202,Foundations and Trends in Signal Processing,1932-8346,6.069
202,Foundations and Trends in Signal Processing,1932-8354,6.069
203,Pharmacological Reviews,1521-0081,6.05
203,Pharmacological Reviews,0031-6997,6.05
204,Trends in Cell Biology,0962-8924,6.002
204,Trends in Cell Biology,1879-3088,6.002
205,Journal of Marketing Research,0022-2437,5.984
205,Journal of Marketing Research,1547-7193,5.984
206,Molecular Plant,1674-2052,5.967
206,Molecular Plant,1752-9867,5.967
207,Materials Today,1369-7021,5.949
207,Materials Today,1873-4103,5.949
208,Accounts of Chemical Research,0001-4842,5.948
208,Accounts of Chemical Research,1520-4898,5.948
209,Nature Machine Intelligence,2522-5839,5.94
210,Nature Reviews Nephrology,1759-507X,5.939
210,Nature Reviews Nephrology,1759-5061,5.939
211,JAMA - Journal of the American Medical Association,1538-3598,5.928
211,JAMA - Journal of the American Medical Association,0098-7484,5.928
212,IEEE Wireless Communications,1536-1284,5.926
213,Progress in Retinal and Eye Research,1350-9462,5.923
213,Progress in Retinal and Eye Research,1873-1635,5.923
214,European Journal of Heart Failure,1388-9842,5.919
214,European Journal of Heart Failure,1879-0844,5.919
215,Annual Review of Entomology,0066-4170,5.909
215,Annual Review of Entomology,1545-4487,5.909
216,Physical Review X,2160-3308,5.896
217,Nature Geoscience,1752-0908,5.874
217,Nature Geoscience,1752-0894,5.874
218,Developmental Cell,1534-5807,5.828
218,Developmental Cell,1878-1551,5.828
219,Annual Review of Political Science,1094-2939,5.826
219,Annual Review of Political Science,1545-1577,5.826
220,Entrepreneurship Theory and Practice,1042-2587,5.819
220,Entrepreneurship Theory and Practice,1540-6520,5.819
221,International Journal of Information Management,0268-4012,5.775
222,Review of Educational Research,0034-6543,5.772
222,Review of Educational Research,1935-1046,5.772
223,JACC: Heart Failure,2213-1787,5.724
223,JACC: Heart Failure,2213-1779,5.724
224,Nature Aging,2662-8465,5.705
225,Diabetes Care,1935-5548,5.694
225,Diabetes Care,0149-5992,5.694
226,InfoMat,2567-3165,5.672
227,Clinical Psychology Review,1873-7811,5.653
227,Clinical Psychology Review,0272-7358,5.653
228,Information Fusion,1872-6305,5.647
228,Information Fusion,1566-2535,5.647
229,Marketing Science,0732-2399,5.643
229,Marketing Science,1526-548X,5.643
230,IEEE Transactions on Cybernetics,2168-2275,5.641
230,IEEE Transactions on Cybernetics,2168-2267,5.641
231,Organization Science,1526-5455,5.632
231,Organization Science,1047-7039,5.632
232,IEEE Communications Magazine,0163-6804,5.631
233,NCHS data brief,1941-4927,5.622
233,NCHS data brief,1941-4935,5.622
234,Perspectives on Psychological Science,1745-6916,5.597
234,Perspectives on Psychological Science,1745-6924,5.597
235,Annual Review of Biophysics,1936-1238,5.561
235,Annual Review of Biophysics,1936-122X,5.561
236,Nature Chemical Biology,1552-4469,5.558
236,Nature Chemical Biology,1552-4450,5.558
237,Nature Reviews Psychology,2731-0574,5.549
238,Annual Review of Environment and Resources,1545-2050,5.501
238,Annual Review of Environment and Resources,1543-5938,5.501
239,Advanced Functional Materials,1616-301X,5.496
240,JAMA Pediatrics,2168-6211,5.494
240,JAMA Pediatrics,2168-6203,5.494
241,EMBO Journal,0261-4189,5.489
241,EMBO Journal,1460-2075,5.489
242,Journal of the American Chemical Society,1520-5126,5.489
242,Journal of the American Chemical Society,0002-7863,5.489
243,Review of Accounting Studies,1573-7136,5.481
243,Review of Accounting Studies,1380-6653,5.481
244,Annual Review of Medicine,1545-326X,5.48
244,Annual Review of Medicine,0066-4219,5.48
245,Manufacturing and Service Operations Management,1526-5498,5.466
245,Manufacturing and Service Operations Management,1523-4614,5.466
246,Annual Review of Earth and Planetary Sciences,0084-6597,5.462
247,Annual Review of Public Health,0163-7525,5.44
247,Annual Review of Public Health,1545-2093,5.44
248,Management Science,0025-1909,5.438
248,Management Science,1526-5501,5.438
249,Journal of Consumer Research,0093-5301,5.428
249,Journal of Consumer Research,1537-5277,5.428
250,Review of Corporate Finance Studies,2046-9136,5.418
250,Review of Corporate Finance Studies,2046-9128,5.418
251,"Annual Review of Ecology, Evolution, and Systematics",1543-592X,5.403
252,"Lancet Microbe, The",2666-5247,5.392
253,Energy Storage Materials,2405-8297,5.374
254,IEEE Transactions on Wireless Communications,1536-1276,5.371
254,IEEE Transactions on Wireless Communications,1558-2248,5.371
255,Advanced Photonics,2577-5421,5.361
256,Organization Studies,1741-3044,5.349
256,Organization Studies,0170-8406,5.349
257,American Journal of Respiratory and Critical Care Medicine,1073-449X,5.336
257,American Journal of Respiratory and Critical Care Medicine,1535-4970,5.336
258,Annals of Statistics,0090-5364,5.335
259,Molecular Systems Biology,1744-4292,5.305
260,Angewandte Chemie - International Edition,1433-7851,5.3
260,Angewandte Chemie - International Edition,1521-3773,5.3
261,EnergyChem,2589-7780,5.274
262,Blood,1528-0020,5.272
262,Blood,0006-4971,5.272
263,IEEE Transactions on Evolutionary Computation,1089-778X,5.209
264,Molecular Neurodegeneration,1750-1326,5.205
265,Mycosphere,2077-7019,5.204
265,Mycosphere,2077-7000,5.204
266,Carbon Energy,2637-9368,5.202
267,Reports on Progress in Physics,1361-6633,5.195
267,Reports on Progress in Physics,0034-4885,5.195
268,Light: Science and Applications,2047-7538,5.187
269,Trends in Ecology and Evolution,0169-5347,5.165
269,Trends in Ecology and Evolution,1872-8383,5.165
270,Journal of Public Economics,0047-2727,5.144
271,Nature Plants,2055-026X,5.134
271,Nature Plants,2055-0278,5.134
272,Brookings Papers on Economic Activity,0007-2303,5.133
272,Brookings Papers on Economic Activity,1533-4465,5.133
273,Applied Catalysis B: Environmental,1873-3883,5.112
273,Applied Catalysis B: Environmental,0926-3373,5.112
274,Psychotherapy and Psychosomatics,0033-3190,5.104
274,Psychotherapy and Psychosomatics,1423-0348,5.104
275,American Political Science Review,1537-5943,5.07
275,American Political Science Review,0003-0554,5.07
276,"Lancet Planetary Health, The",2542-5196,5.057
277,Nature Ecology and Evolution,2397-334X,5.056
278,Matter,2590-2393,5.048
278,Matter,2590-2385,5.048
279,Analytic Methods in Accident Research,2213-6657,5.02
280,Foundations and Trends in Systems and Control,2325-6826,5.016
280,Foundations and Trends in Systems and Control,2325-6818,5.016
281,Genes and Development,1549-5477,5.015
281,Genes and Development,0890-9369,5.015
282,Hepatology,0270-9139,5.011
282,Hepatology,1527-3350,5.011
283,Journal of the National Cancer Institute,1460-2105,4.986
283,Journal of the National Cancer Institute,0027-8874,4.986
284,Genome Medicine,1756-994X,4.975
285,Radiocarbon,0033-8222,4.956
286,"Lancet Regional Health - Europe, The",2666-7762,4.955
287,PRX Quantum,2691-3399,4.954
288,Foundations and Trends in Computer Graphics and Vision,1572-2740,4.952
289,Cancer Communications,2523-3548,4.95
290,Journal of Service Research,1094-6705,4.948
290,Journal of Service Research,1552-7379,4.948
291,International Organization,1531-5088,4.932
291,International Organization,0020-8183,4.932
292,Circulation Research,0009-7330,4.903
292,Circulation Research,1524-4571,4.903
293,IEEE Signal Processing Magazine,1053-5888,4.896
294,Annual Review of Marine Science,1941-0611,4.891
294,Annual Review of Marine Science,1941-1405,4.891
295,Nature Food,2662-1355,4.891
296,Trends in Neurosciences,0166-2236,4.891
296,Trends in Neurosciences,1878-108X,4.891
297,Nature Communications,2041-1723,4.887
298,Cell Systems,2405-4720,4.872
298,Cell Systems,2405-4712,4.872
299,IEEE Transactions on Smart Grid,1949-3053,4.863
300,Annual Review of Financial Economics,1941-1367,4.854
300,Annual Review of Financial Economics,1941-1375,4.854
301,Cellular and Molecular Immunology,2042-0226,4.838
301,Cellular and Molecular Immunology,1672-7681,4.838
302,Journal of Clinical Investigation,0021-9738,4.833
302,Journal of Clinical Investigation,1558-8238,4.833
303,Studies in Mycology,0166-0616,4.821
304,Nature reviews. Rheumatology,1759-4790,4.818
304,Nature reviews. Rheumatology,1759-4804,4.818
305,Acta Mathematica,0001-5962,4.814
306,Journal of Business Venturing,0883-9026,4.813
307,Personality and Social Psychology Review,1088-8683,4.795
307,Personality and Social Psychology Review,1532-7957,4.795
308,Cement and Concrete Research,0008-8846,4.781
309,Nature Synthesis,2731-0582,4.759
310,Trends in Cognitive Sciences,1879-307X,4.758
310,Trends in Cognitive Sciences,1364-6613,4.758
311,Periodontology 2000,0906-6713,4.744
311,Periodontology 2000,1600-0757,4.744
312,Acta Neuropathologica,0001-6322,4.72
312,Acta Neuropathologica,1432-0533,4.72
313,Quantitative Economics,1759-7323,4.72
313,Quantitative Economics,1759-7331,4.72
314,Educational Psychologist,1532-6985,4.709
314,Educational Psychologist,0046-1520,4.709
315,Annual Review of Physical Chemistry,0066-426X,4.696
315,Annual Review of Physical Chemistry,1545-1593,4.696
316,IEEE/CAA Journal of Automatica Sinica,2329-9266,4.696
316,IEEE/CAA Journal of Automatica Sinica,2329-9274,4.696
317,British Journal of Sports Medicine,0306-3674,4.691
317,British Journal of Sports Medicine,1473-0480,4.691
318,Handbook of Industrial Organization,1573-448X,4.691
319,Brain,1460-2156,4.689
319,Brain,0006-8950,4.689
320,Nano Energy,2211-2855,4.685
321,Progress in Particle and Nuclear Physics,0146-6410,4.672
322,Drug Resistance Updates,1368-7646,4.665
322,Drug Resistance Updates,1532-2084,4.665
323,Ophthalmology,1549-4713,4.642
323,Ophthalmology,0161-6420,4.642
324,Accounting Review,0001-4826,4.64
324,Accounting Review,1558-7967,4.64
325,Blood cancer discovery,2643-3230,4.64
325,Blood cancer discovery,2643-3249,4.64
326,JACC: Cardiovascular Imaging,1936-878X,4.636
326,JACC: Cardiovascular Imaging,1876-7591,4.636
327,"Annual Review of Control, Robotics, and Autonomous Systems",2573-5144,4.633
328,American Journal of Political Science,0092-5853,4.629
328,American Journal of Political Science,1540-5907,4.629
329,Clinical Cancer Research,1078-0432,4.623
329,Clinical Cancer Research,1557-3265,4.623
330,GigaScience,2047-217X,4.621
331,Political Analysis,1047-1987,4.612
331,Political Analysis,1476-4989,4.612
332,Computational Visual Media,2096-0662,4.608
332,Computational Visual Media,2096-0433,4.608
333,Journal of International Business Studies,0047-2506,4.6
333,Journal of International Business Studies,1478-6990,4.6
334,ACS Nano,1936-086X,4.593
334,ACS Nano,1936-0851,4.593
335,Carbon Research,2731-6696,4.585
336,Journal of International Economics,1873-0353,4.583
336,Journal of International Economics,0022-1996,4.583
337,Journal of Management Studies,0022-2380,4.578
337,Journal of Management Studies,1467-6486,4.578
338,Academy of Management Perspectives,1558-9080,4.569
339,Annual Review of Nuclear and Particle Science,0163-8998,4.538
340,Journal of Human Resources,1548-8004,4.524
340,Journal of Human Resources,0022-166X,4.524
341,American Journal of Human Genetics,1537-6605,4.516
341,American Journal of Human Genetics,0002-9297,4.516
342,Trends in Cancer,2405-8033,4.513
342,Trends in Cancer,2405-8025,4.513
343,Economic Journal,1468-0297,4.507
343,Economic Journal,0013-0133,4.507
344,IEEE Transactions on Automatic Control,0018-9286,4.501
344,IEEE Transactions on Automatic Control,1558-2523,4.501
345,Ecology Letters,1461-023X,4.497
345,Ecology Letters,1461-0248,4.497
346,Foundations and Trends in Information Retrieval,1554-0669,4.496
346,Foundations and Trends in Information Retrieval,1554-0677,4.496
347,Science advances,2375-2548,4.483
348,IEEE Transactions on Industrial Informatics,1551-3203,4.42
349,Protein Science,1469-896X,4.419
349,Protein Science,0961-8368,4.419
350,"Lancet HIV,The",2352-3018,4.416
351,Protein and Cell,1674-8018,4.412
351,Protein and Cell,1674-800X,4.412
352,Accounts of Materials Research,2643-6728,4.403
353,Genome Research,1549-5469,4.403
