,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,REF2ID,Incl sig material before 2014,Incl reseach process,Incl factual info about significance
2970,10007784,University College London,B,11,Computer Science and Informatics,,,,D,‘Unexpected item in the bagging area’: Anomaly Detection in X-ray Security Images,,,IEEE Transactions on Information Forensics and Security,14,6,1539,,,1556-6013,10.1109/TIFS.2018.2881700,,November,2018.0,,3.0,,,,,,,,Compliant,Yes,5.0,,,,90919064-d6a4-4dc1-9da0-2705e800c8fb,0,0,1
3275,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,E,“Bursting the Assistance Bubble” : Designing Inclusive Technology with Children with Mixed Visual Abilities,,,"Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems : April 21-26, 2018, Montreal, QC, Canada",,,1,,,,10.1145/3173574.3173920,,April,2018.0,,1.0,,,,,,,E - Bristol Interaction Group,,Yes,4.0,,,,11696366-9d3d-4807-ad06-121454c1c0dc,0,0,1
3331,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,D,“Ethics When You Least Expect It” : A Modular Approach to Short Course Data Ethics Instruction,,,Science and Engineering Ethics,26,,2189,,,1471-5546,10.1007/s11948-020-00197-2,,February,2020.0,,2.0,,Yes,,,,,,Compliant,Yes,1.0,,,,71a435f5-334d-4921-b3c2-a53c87f8e457,0,0,1
3439,10003645,King's College London,B,11,Computer Science and Informatics,,,,D,“I Just Let Him Cry. . . ” : Designing Socio-Technical Interventions in Families to Prevent Mental Health Disorders,,,Proceedings of the ACM on Human-Computer Interaction - CSCW,2,CSCW,,160,,2573-0142,10.1145/3274429,,November,2018.0,,7.0,,,,,,,,Technical exception,Yes,,,,,a3178a15-b003-440c-854f-6c457f125ce3,0,0,1
3467,10001282,University of Northumbria at Newcastle,B,11,Computer Science and Informatics,,,,E,“If It’s Important It Will Be A Headline”: Cybersecurity Information Seeking in Older Adults,,,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,,,1,,,,10.1145/3290605.3300579,,May,2019.0,,2.0,,Yes,,,,,B - Northumbria Social Computing (NorSC),,Yes,1.0,,,,b5d53d2b-2d24-4f2c-97db-89d189c0d523,0,0,1
3829,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,E,“This has to be the cats” - Personal Data Legibility in Networked Sensing Systems,,,CSCW '16: Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing,2016-Feb,,491,,,,10.1145/2818048.2819992,,February,2016.0,,4.0,,,,,,,,,Yes,22.0,,,,bd1ddf1a-509a-45c5-a90a-4d736b87efc4,0,0,1
4005,10007788,University of Cambridge,B,11,Computer Science and Informatics,,,,E,1000 days of UDP amplification DDoS attacks,,,"eCrime Researchers Summit, eCrime",,,79,,,2159-1237,10.1109/ECRIME.2017.7945057,,April,2017.0,,2.0,,,,,,,,Compliant,Yes,8.0,,,,7c064335-9ea2-403d-afc3-22c4c4fadeea,0,0,1
4098,10007762,Glasgow Caledonian University,B,11,Computer Science and Informatics,,,,D,1D-CNN based real-time fault detection system for power asset diagnostics,,,"IET Generation, Transmission & Distribution",14,24,5766,,,1751-8687,10.1049/iet-gtd.2020.0773,,September,2020.0,,4.0,,,,,,,,Compliant,Yes,0.0,,,,e6c76834-7fb5-4bec-adfa-312f6b9a918f,0,0,1
4104,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,1H NMR-Linked Urinary Metabolic Profiling of Niemann-Pick Class C1 (NPC1) Disease: Identification of Potential New Biomarkers using Correlated Component Regression (CCR) and Genetic Algorithm (GA) Analysis Strategies,,Bentham Science Publishers Ltd.,Current Metabolomics,2,2,88,,,2213-235X,10.2174/2213235X02666141112215616,,,2014.0,,12.0,,,,,,,,Out of scope for open access requirements,Yes,9.0,,,,7a4078bd-079b-4a0c-8337-3ceea5882e0d,0,0,1
4110,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,2 x 2 Phased Array Consisting of Square Loop Antennas for High Gain Wide Angle Scanning With Low Grating Lobes,,,IEEE Transactions on Antennas and Propagation,65,2,576,,,0018-926X,10.1109/TAP.2016.2637858,,December,2016.0,,3.0,,,,,,,C - Communications and Networking (Comms),Compliant,Yes,24.0,,,,3935799c-f705-407d-8640-a980d46cda73,0,0,1
4211,10007768,The University of Lancaster,B,11,Computer Science and Informatics,,,,E,3D action recognition from novel viewpoints,,,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,1506,,,,10.1109/CVPR.2016.167,,June,2016.0,,1.0,,,,,,,B - Data Science,,Yes,50.0,,,,61280219-b554-489b-9d47-f53ab5e6639f,0,0,1
4236,10003957,Liverpool John Moores University,B,11,Computer Science and Informatics,,,,D,3D deployment optimization for Heterogeneous Wireless Directional Sensor Networks on Smart City,,,IEEE Transactions on Industrial Informatics,15,3,1798,,,1941-0050,10.1109/TII.2018.2884951,,December,2018.0,,4.0,,,,,,,,Compliant,Yes,13.0,,,,fe4cf2dd-dfa9-4942-a1aa-610465f6520c,0,0,1
4258,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,3-D Laser-Based Multiclass and Multiview Object Detection in Cluttered Indoor Scenes,,,IEEE Transactions on Neural Networks and Learning Systems,28,1,177,,,2162-2388,10.1109/TNNLS.2015.2496195,,December,2015.0,,3.0,,,,,,,D - Robotics and Embedded Systems (RES),Out of scope for open access requirements,Yes,8.0,,,,808326c0-6deb-41aa-8197-752db7464cc0,0,0,1
4262,10007855,Swansea University / Prifysgol Abertawe,B,11,Computer Science and Informatics,,,,D,3D Mesh Segmentation via Multi-branch 1D Convolutional Neural Networks,,Elsevier,Graphical Models,96,,1,,,15240703,10.1016/j.gmod.2018.01.001,,March,2018.0,,,,,,,,,,Compliant,Yes,7.0,,,,a8f0d8a3-6f25-41b8-a5a0-eb69485ca2cf,0,0,1
4281,10007149,The University of Hull,B,11,Computer Science and Informatics,,,,D,3D perception from binocular vision for a low cost humanoid robot NAO,,,Robotics and Autonomous Systems,68,,129,,,0921-8890,10.1016/j.robot.2014.12.016,,June,2015.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,17.0,,,,f0296122-aace-470c-a1b5-3032af854bd0,0,0,1
4282,10007793,University of South Wales / Prifysgol De Cymru,B,11,Computer Science and Informatics,,,,D,"3D Posture Visualisation From Body Shape Measurements Using Physics Simulation, to Ascertain the Orientation of the Pelvis and Femurs in a Seated Position",,,Computer Methods and Programs in Biomedicine,198,,105772,105772,,0169-2607,10.1016/j.cmpb.2020.105772,,September,2020.0,,2.0,,Yes,,,,,E - Biomedical Computing,Compliant,Yes,0.0,,,,449a213a-b256-4aa2-b723-1bc5dc98639e,0,0,1
4334,10003270,"Imperial College of Science, Technology and Medicine",B,11,Computer Science and Informatics,,,,D,"3D reconstruction of ""in-the-wild"" faces in images and videos",,,IEEE Transactions on Pattern Analysis and Machine Intelligence,40,11,2638,,,0162-8828,10.1109/TPAMI.2018.2832138,,May,2018.0,,6.0,,,,,,,,Compliant,Yes,14.0,,10.1109/TPAMI.2018.2832138,,94ff2af4-275d-47aa-93c5-065c06e7227e,0,0,1
4336,10007165,The University of Westminster,B,11,Computer Science and Informatics,,,,D,3D Reconstruction of Medical Images from Slices Automatically Landmarked with Growing Neural Models,,Elsevier,Neurocomputing,150,A,16,,,0925-2312,10.1016/j.neucom.2014.03.078,,October,2014.0,,5.0,,,,,,,,Out of scope for open access requirements,Yes,13.0,,,,1fdb76b2-2e54-4157-b4bb-257925e9d9a9,0,0,1
4370,10001282,University of Northumbria at Newcastle,B,11,Computer Science and Informatics,,,,D,3DPalsyNet : A Facial Palsy Grading and Motion Recognition Framework using Fully 3D Convolutional Neural Networks,,,IEEE Access,7,,121655,,,2169-3536,10.1109/ACCESS.2019.2937285,,August,2019.0,,4.0,,,,,,,C - Digital Learning Laboratory (DLL),Compliant,Yes,2.0,,,,07f95319-26f3-4eb2-9df0-e478d4ab8424,0,0,1
4380,10007151,University of Lincoln,B,11,Computer Science and Informatics,,,,D,"3D-vision based detection, localization, and sizing of broccoli heads in the field",,,Journal of Field Robotics,34,8,1505,,,1556-4959,10.1002/rob.21726,,June,2017.0,http://doi.org/10.1002/rob.21726,4.0,,,,,,,,Compliant,Yes,20.0,,,,f0f40374-41ac-402c-9667-59b9ae055869,0,0,1
4435,10003645,King's College London,B,11,Computer Science and Informatics,,,,D,5G-Enabled Tactile Internet,,,IEEE Journal on Selected Areas in Communications,34,3,460,7403840,,0733-8716,10.1109/JSAC.2016.2525398,,February,2016.0,,4.0,,,,,,,,Out of scope for open access requirements,Yes,338.0,,,,fd15d0d5-e383-40d2-977e-968628e9a38b,0,0,1
4436,10007800,University of the West of Scotland,B,11,Computer Science and Informatics,,,,D,5G-QoE : QoE Modelling for Ultra-HD Video Streaming in 5G Networks,,,IEEE Transactions on Broadcasting,64,2,1,,,0018-9316,10.1109/TBC.2018.2816786,,April,2018.0,,3.0,,,,,,,,Compliant,Yes,36.0,,,,1f770c8b-c2ff-4ef0-b46c-82313845c493,0,0,1
4437,10007800,University of the West of Scotland,B,11,Computer Science and Informatics,,,,D,5GTopoNet : real-time topology discovery and management on 5G multi-Tenant networks,,,Future Generation Computer Systems,114,,435,,,0167-739X,10.1016/j.future.2020.08.025,,August,2020.0,,3.0,,,,,,,,Compliant,Yes,0.0,,,,f4689ad2-1530-41be-842a-238d1bb2817d,0,0,1
4448,10004351,Middlesex University,B,11,Computer Science and Informatics,,,,D,5MART: A 5G SMART scheduling framework for optimizing QoS through reinforcement learning,,,IEEE Transactions on Network and Service Management,17,2,1110,,,1932-4537,10.1109/TNSM.2019.2960849,,December,2019.0,http://eprints.mdx.ac.uk/29440/,3.0,,,,,,,,Compliant,Yes,0.0,,,,c004a41b-c2c4-4c67-858e-4ec9aee547f6,0,0,1
4503,10005790,Sheffield Hallam University,B,11,Computer Science and Informatics,,,,D,"A ‘Best-of-Breed’ approach for designing a fast algorithm for computing fixpoints of Galois
Connections",,,Information Sciences,295,20,633,,,0020-0255,10.1016/j.ins.2014.10.011,,February,2015.0,,0.0,,,,,,,,Out of scope for open access requirements,Yes,23.0,,,,3e906924-6d94-4b25-b4d1-33a6ada0e178,0,0,1
4578,10003957,Liverpool John Moores University,B,11,Computer Science and Informatics,,,,D,A 3D Security Modelling Platform for Social IoT Environments,,,IEEE Transactions on Computational Social Systems,5,4,1174,,,2329-924X,10.1109/TCSS.2018.2878921,,November,2018.0,,6.0,,,,,,,,Other exception,Yes,5.0,,,,5b076689-c7db-492c-931e-206421895d61,0,0,1
4579,10007143,University of Durham,B,11,Computer Science and Informatics,,,,D,A 3D Steganalytic Algorithm and Steganalysis-Resistant Watermarking,,,IEEE Transactions on Visualization and Computer Graphics,23,2,1002,,,10772626,10.1109/TVCG.2016.2525771,,,2016.0,https://doi.org/10.1109/TVCG.2016.2525771,3.0,,,,,,,B - Algorithms and Complexity,Out of scope for open access requirements,Yes,22.0,,,,4cb111e8-a8a3-4e31-9319-76d57de1fee9,0,0,1
4596,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,A 6(4) optimized embedded Runge–Kutta–Nyström pair for the numerical solution of periodic problems,,Elsevier BV,Journal of Computational and Applied Mathematics,275,,311,,,0377-0427,10.1016/j.cam.2014.07.016,,,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,7.0,10.0,,,8466e39e-b8be-4819-bcb2-f00ee8ebd8e4,0,0,1
4598,10007167,University of York,B,11,Computer Science and Informatics,,,,E,A 65nm CMOS lossless bio-signal compression circuit with 250 femtoJoule performance per bit.,,,IEEE Transactions on Biomedical Circuits and Systems,13,5,1087,,,1932-4545,10.1109/TBCAS.2019.2938672,,August,2019.0,,2.0,,,,,,,,Compliant,Yes,1.0,,,,365a5684-a9a4-43bb-973d-0d84ecf8ba08,0,0,1
4616,10003678,Kingston University,B,11,Computer Science and Informatics,,,,D,A Bag of Expression framework for improved human action recognition,,,Pattern Recognition Letters,103,,39,,,0167-8655,10.1016/j.patrec.2017.12.024,,,2018.0,,,,,,,,,,Compliant,Yes,14.0,,,,482559ce-27d7-4d9d-b8e8-c0da4003e003,0,0,1
4631,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,A Basic Probability Assignment Methodology for Unsupervised Wireless Intrusion Detection,,,IEEE Access,6,,40008,,,2169-3536,10.1109/access.2018.2855078,,,2018.0,,5.0,,,,,,,,Compliant,Yes,4.0,,,,ef1b1432-73fa-4d75-be9a-9d0e152c8b20,0,0,1
4632,10007785,The University of Bradford,B,11,Computer Science and Informatics,,,,D,A Basic Probability Assignment Methodology for Unsupervised Wireless Intrusion Detection,,,IEEE Access,6,,40008,,,2169-3536,10.1109/ACCESS.2018.2855078,,,2018.0,https://ieeexplore.ieee.org/document/8409949,5.0,,,,,,,,Compliant,Yes,4.0,,,,67d15991-51ec-415e-91dd-c40dcad380c2,0,0,1
4637,10007814,Cardiff University / Prifysgol Caerdydd,B,11,Computer Science and Informatics,,,,E,A Bayesian approach to argument-based reasoning for attack estimation,,,26th International Joint Conference on Artificial Intelligence,0,,249,,,,,,August,2017.0,https://dl.acm.org/doi/10.5555/3171642.3171679,1.0,,,,,,,A - Artificial intelligence and data analytics,,Yes,,,,,ee8690c1-06f6-4a6a-b8b4-51c6b7ada9b4,0,0,1
4653,10007151,University of Lincoln,B,11,Computer Science and Informatics,,,,E,A Bayesian framework for the local configuration of retinal junctions,,,2014 IEEE Conference on Computer Vision and Pattern Recognition,,,3105,,9781479951185,1063-6919,10.1109/CVPR.2014.397,,June,2014.0,https://doi.org/10.1109/CVPR.2014.397,2.0,,,,,,,,Out of scope for open access requirements,Yes,7.0,,,,805ef744-1361-4501-acdf-4474d38e9a09,0,0,0
4668,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,"A Bayesian Network Framework for Project Cost, Benefit and Risk Analysis with an Agricultural Development Case Study",,,Expert Systems with Applications,60,,141,,,1873-6793,10.1016/j.eswa.2016.05.005,,May,2016.0,,5.0,,,,,,,,Compliant,Yes,50.0,,,,92350256-9dcf-4bf4-9807-58297c9c51eb,0,0,1
4700,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,D,A belief revision framework for revising epistemic states with partial epistemic states,,,International Journal of Approximate Reasoning,59,,20,,,0888-613X,10.1016/j.ijar.2015.01.003,,January,2015.0,,2.0,,,,,,,A - Artificial Intelligence and Autonomy,Out of scope for open access requirements,Yes,9.0,,,,35433ef6-7335-49c1-b209-02d9b73a1eb2,0,0,1
4701,10003861,Leeds Beckett University,B,11,Computer Science and Informatics,,,,D,A Belief Rule Based Expert System for Datacenter PUE Prediction under Uncertainty,,,IEEE Transactions on Sustainable Computing,2,2,140,,,2377-3790,10.1109/TSUSC.2017.2697768,,,2017.0,,1.0,,,,,,,,Not compliant,Yes,,,,,749b7ed4-0717-4eab-b6b4-feaef6aa72b1,0,0,0
4702,10003957,Liverpool John Moores University,B,11,Computer Science and Informatics,,,,D,A Belief-Based Decision-Making Framework for Spectrum Selection in Cognitive Radio Networks,,,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,65,10,8283,,,0018-9545,10.1109/TVT.2015.2508646,,December,2015.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,2.0,,,,263c2340-82eb-435e-8ecb-b7070f53e0b7,0,0,1
4704,10004930,Oxford Brookes University,B,11,Computer Science and Informatics,,,,D,A belief-theoretical approach to example-based pose estimation,,,IEEE Transactions on Fuzzy Systems,26,2,598,,,1063-6706,10.1109/TFUZZ.2017.2686803,,March,2017.0,,1.0,,,,,,,,Compliant,Yes,0.0,,,,7d9216f1-8c9a-440a-9859-3dfc5628e988,0,0,1
4707,10003270,"Imperial College of Science, Technology and Medicine",B,11,Computer Science and Informatics,,,,E,"A benchmark for RGB-D visual odometry, 3D reconstruction and SLAM",,,2014 IEEE International Conference on Robotics and Automation (ICRA),,,1524,,,1050-4729,10.1109/ICRA.2014.6907054,,September,2014.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,209.0,,,,37dcae0b-7713-4d4e-885b-b14593f965e3,0,0,1
4722,10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,D,A Bi-Criteria Active Learning Algorithm for Dynamic Data Streams,,,IEEE Transactions on Neural Networks and Learning Systems,29,1,74,0,,2162-237X,10.1109/TNNLS.2016.2614393,,October,2016.0,,,,Yes,,,,,,Compliant,Yes,12.0,,,,0621549f-6e7a-4b0c-9856-e9ab6642109a,0,0,0
4726,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,A Big Bang–Big Crunch Type-2 Fuzzy Logic System for Machine-Vision-Based Event Detection and Summarization in Real-World Ambient-Assisted Living,,,IEEE Transactions on Fuzzy Systems,24,6,1307,6,,1063-6706,10.1109/TFUZZ.2016.2514366,,January,2016.0,,3.0,,,,,,,A - Artificial Intelligence (AI),Out of scope for open access requirements,Yes,4.0,,,,37f70f97-a979-42f7-a224-a81784a63d2f,0,0,1
4730,10007795,The University of Leeds,B,11,Computer Science and Informatics,,,,D,A Bi-Intuitionistic Modal Logic: Foundations and Automation,,,Journal of Logical and Algebraic Methods in Programming,85,4,500,,,2352-2208,10.1016/j.jlamp.2015.11.003,,December,2015.0,,2.0,,,,,,,B - AI (Artificial Intelligence),Out of scope for open access requirements,Yes,7.0,,,,caf6d609-03ab-4589-8b2c-9d7a11e072e9,0,0,1
4731,10007856,Aberystwyth University / Prifysgol Aberystwyth,B,11,Computer Science and Informatics,,,,D,A bijective variant of the Burrows–Wheeler Transform using V-order,,,Theoretical Computer Science,531,,77,,,0304-3975,10.1016/j.tcs.2014.03.014,,March,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,6.0,,,,1b7d4ae7-486f-455a-bf27-d490635acef2,0,0,1
4737,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,E,A binary-compatible unikernel,,,VEE 2019: Proceedings of the 15th ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments,,,59,,,,10.1145/3313808.3313817,,April,2019.0,,4.0,,,,,,,A - Computer Science,,Yes,,,,,a219c329-78ae-4fe7-a359-6e8ffe766bce,0,0,1
4754,10007796,The University of Leicester,B,11,Computer Science and Informatics,,,,D,A Biologically Inspired Appearance Model for Robust Visual Tracking,,,IEEE Transactions on Neural Networks and Learning Systems,28,10,2357,,,1045-9227,10.1109/TNNLS.2016.2586194,,July,2016.0,,5.0,,,,,,,,Compliant,Yes,72.0,,https://doi.org/10.1109/TNNLS.2016.2586194,,8e82972b-e609-43ef-9163-4cc420451732,0,0,1
4755,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,A biologically inspired controller to solve the coverage problem in robotics,,,Bioinspiration and Biomimetics,12,3,,035002,,1748-3182,10.1088/1748-3190/aa714c,,June,2017.0,,1.0,,,,,,,C - Pervasive Computing Research Centre,Compliant,Yes,1.0,,,,8977a1d2-8f8b-4fb9-9f05-89a17c7f7187,0,0,1
4756,10007164,"University of the West of England, Bristol",B,11,Computer Science and Informatics,,,,D,A biologically inspired network design model,,,Scientific Reports,5,,,10794,,2045-2322,10.1038/srep10794,,June,2015.0,http://dx.doi.org/10.1038/srep10794,8.0,,,,,,,,Out of scope for open access requirements,Yes,16.0,,,,c2d854bb-7896-4bdb-a068-aafd5e3c175b,0,0,1
4769,10007804,University of Stirling,B,11,Computer Science and Informatics,,,,D,A Bio-Realistic Analog CMOS Cochlea Filter With High Tunability and Ultra-Steep Roll-Off,,,IEEE Transactions on Biomedical Circuits and Systems,9,3,297-311,,,1940-9990,10.1109/TBCAS.2014.2328321,,July,2014.0,,4.0,,Yes,,,,,,Out of scope for open access requirements,Yes,17.0,,,,9230670c-5a8f-4505-a340-862d77a0a7ac,0,0,0
4784,10004113,Loughborough University,B,11,Computer Science and Informatics,,,,D,A blind stereoscopic image quality evaluator with segmented stacked autoencoders considering the whole visual perception route,,,IEEE Transactions on Image Processing,28,3,1314,,,1057-7149,10.1109/TIP.2018.2878283,,October,2018.0,,5.0,,,,,,,,Compliant,Yes,17.0,,,,a39634b9-3bb7-4aef-aad3-2f774aa3beb5,0,0,1
4814,10007772,Edinburgh Napier University,B,11,Computer Science and Informatics,,,,D,A brain-wide atlas of synapses across the mouse lifespan,,,Science,369,6501,270,,,0036-8075,10.1126/science.aba3163,,June,2020.0,,6.0,,Yes,,,,,,Compliant,Yes,9.0,,https://github.com/SynaptomeMapping/SynaptomeExplorerV2,,10a73fb2-a2fe-470e-9134-8403f517324a,0,0,1
4817,10007795,The University of Leeds,B,11,Computer Science and Informatics,,,,D,A branch-and-price approach for solving the train unit scheduling problem,,,Transportation Research Part B: Methodological,94,,97,,,0191-2615,10.1016/j.trb.2016.09.007,,September,2016.0,https://dx.doi.org/10.1016/j.trb.2016.09.007,1.0,,Yes,,,,,A - AC (Algorithms and Complexity),Access exception,Yes,13.0,,,,d183cae8-c851-4304-b4cc-866ba4aa0765,0,0,1
4873,10003957,Liverpool John Moores University,B,11,Computer Science and Informatics,,,,D,A buyer-seller watermarking protocol for digital secondary market,,,Multimedia Tools and Applications,77,1,225,,,0942-4962,10.1007/s11042-016-4247-8,,December,2016.0,,2.0,,,,,,,,Compliant,Yes,2.0,,,,610421c9-4133-4a83-a11f-5f62d6e32a74,0,0,1
4886,10007784,University College London,B,11,Computer Science and Informatics,,,,D,A calculus and logic of bunched resources and processes,,,THEORETICAL COMPUTER SCIENCE,614,,63,,,0304-3975,10.1016/j.tcs.2015.11.035,,February,2016.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,6.0,,,,97e94dd4-e781-4ad7-8e50-5df029a83ce0,0,0,1
